WB_A3,NAM_0,GEM_PGA_mean,GEM_PGA_median,FLOOD_mean,FLOOD_median,STORM_mean,STORM_median
ALB,Albania,0.3832259871178163,0.38339949677433516,0.09468909679731366,0.0,0.0,0.0
AUT,Austria,0.07819153276603025,0.07138698186341356,0.04678158802891201,0.0,0.0,0.0
BEL,Belgium,0.04485573395135189,0.04135708598862604,0.017131867008833294,0.0,0.0,0.0
BIH,Bosnia and Herzegovina,0.15824642590950946,0.14880431045520215,0.03646977773145778,0.0,0.0,0.0
DEU,Germany,0.022206956254858835,0.013228390000000001,0.047960702003057014,0.0,0.0,0.0
FRA,France,0.030257233785859986,0.02242157878346408,0.02628560724724832,0.0,2.734851911770413,0.0
GBR,United Kingdom,0.007898272780842567,0.008041452259205124,0.020690696900689164,0.0,20.201219342768226,24.812557220458984
GGY,Guernsey (U.K.),0.01774274499146817,0.01774274499146817,0.0758331298828125,0.0,0.0,0.0
HRV,Croatia,0.14968335482790468,0.1297016,0.045550019711109675,0.0,0.0,0.0
HUN,Hungary,0.056058162877221596,0.050675756726394766,0.03349594380553353,0.0,0.0,0.0
IMY,Isle of Man (U.K.),0.005195769079958281,0.005410684394360996,0.023321291090736926,0.0,25.306287977430557,25.27576446533203
IRL,Ireland,0.0,0.0,0.011498729037725221,0.0,25.634481837606838,25.58646583557129
ITA,Italy,0.170441669133315,0.1639971391829328,0.0364869109494836,0.0,0.0,0.0
JEY,Jersey (U.K.),0.021806647999997316,0.021903879999987493,0.01309598339677422,0.0,26.54026222229004,26.54026222229004
LUX,Luxembourg,0.030090817030517955,0.029381365511105588,0.02316062263464185,0.0,0.0,0.0
MKD,North Macedonia,0.2480929165067729,0.22007062295699653,0.019843904574059303,0.0,0.0,0.0
MNE,Montenegro,0.17936193009873805,0.15714883954986125,0.04527846882283542,0.0,0.0,0.0
NLD,Netherlands,0.021101947082422738,0.015108539968391248,0.5867514929960299,0.0,0.0,0.0
SRB,Serbia,0.13238771100582508,0.13701480590929663,0.04925266215422548,0.0,0.0,0.0
SVN,Slovenia,0.20507793551411793,0.20207540139934582,0.012261326019212595,0.0,0.0,0.0
XKX,Kosovo,0.18173116962844374,0.17220201553493208,0.07580443038448553,0.0,0.0,0.0
ADO,Andorra,0.06760046727858567,0.06751707000000876,0.0021732541168628097,0.0,0.0,0.0
CHE,Switzerland,0.08072718784823023,0.07265935000000001,0.0454027168495295,0.0,0.0,0.0
DZA,Algeria,0.025980975533880925,0.0,0.0025213109059793125,0.0,3.0138099004893197,0.0
ESP,Ceuta (Sp.),,,0.0,0.0,0.0,0.0
ESP,Las Islas Chafarinas (Sp.),,,,,0.0,0.0
ESP,Melilla (Sp.),,,0.6364797486199273,0.8183311223983765,0.0,0.0
ESP,PeÃ±Ã³n de Alhucaimas (Sp.),,,,,0.0,0.0
ESP,PeÃ±Ã³n de VÃ©lez de la Gomera (Sp.),,,,,0.0,0.0
ESP,Spain,0.056737144427095446,0.041530895702139664,0.05281659499745906,0.0,19.64712106529049,23.692201614379883
FRO,Faroe Islands (Den.),0.0,0.0,0.0001718901039984883,0.0,0.0,0.0
GBR,Gibraltar (U.K.),,,0.0,0.0,0.0,0.0
LBY,Libya,0.009578577484643821,0.0,0.0014637340523511175,0.0,0.0,0.0
LIE,Liechtenstein,0.08536266222269148,0.08595819294668097,0.11722897966846232,0.0,0.0,0.0
MAR,Morocco,0.09671884928266783,0.08782481068732438,0.027598955931481435,0.0,23.590763853824793,23.643630981445312
MCO,Monaco,,,0.0,0.0,0.0,0.0
MLT,Malta,0.06456259651769947,0.06427982561783789,0.0007384379009188395,0.0,0.0,0.0
