Model,Variable,Coefficient,Std_Error,P_Value,Sig
VULN-L.4,Region FE: South Asia,-0.24172702571380383,0.10393612891173822,0.020033137426252286,**
VULN-L.4,Region FE: Sub-Saharan Africa,-0.2285511294822568,0.06163435992008039,0.00020875654037668631,***
VULN-L.4,R-squared,0.6496917532409696,,,
VULN-L.4,Adj. R-squared,0.6217686321224962,,,
VULN-L.4,N,150,,,
VULN-L.4,Region Fixed Effects,Yes,,,
VULN-L.5,Constant,0.6050560721287942,0.04288494915688,3.351340025333407e-45,***
VULN-L.5,Poverty Gap ($4.20/day),-0.001557560307984784,0.0017631966852528537,0.37703478530565226,
VULN-L.5,Log GDP per Capita (PPP),0.07301872382781245,0.024215691595712924,0.002566850278499458,***
VULN-L.5,Building Quality Index,0.006886810395578106,0.005023494193672236,0.17039978824018986,
VULN-L.5,Earthquake + Storm (Log),0.02127127600150048,0.018936832922181186,0.26132060594922724,
VULN-L.5,Building Quality × EQK+STM,-0.0002485267876057462,0.00513679844639116,0.9614120828823086,
VULN-L.5,Region FE: Europe & Central Asia,-0.07242918892731681,0.054168650596087733,0.18118827271131654,
VULN-L.5,Region FE: Latin America & Caribbean,0.0940090057001157,0.06049021789039221,0.12015599932854142,
VULN-L.5,Region FE: Middle East & North Africa,0.08008557061104703,0.07539253144539075,0.28812308493635386,
VULN-L.5,Region FE: North America,0.07086781094514816,0.07676356106241204,0.35590508367909224,
VULN-L.5,Region FE: South Asia,-0.246196276457254,0.10377295402700719,0.017670493922065985,**
VULN-L.5,Region FE: Sub-Saharan Africa,-0.27190497463506863,0.05969156991387231,5.234437180372839e-06,***
VULN-L.5,R-squared,0.6410568079862653,,,
VULN-L.5,Adj. R-squared,0.612445394130098,,,
VULN-L.5,N,150,,,
VULN-L.5,Region Fixed Effects,Yes,,,
VULN-N.1,Constant,0.6219460220049535,0.04109913376999429,9.837901403715743e-52,***
VULN-N.1,Poverty Gap ($4.20/day),-0.0007523157791048426,0.001859603140590362,0.6858030484048312,
VULN-N.1,Log GDP per Capita (PPP),0.08694055942363682,0.023263260329674525,0.00018604583595055116,***
VULN-N.1,Flood Count (Log),-0.0029814480535782207,0.015433251733984247,0.8468153382063695,
VULN-N.1,Region FE: Europe & Central Asia,-0.09191625788415114,0.05279655601622133,0.08169203216939769,*
VULN-N.1,Region FE: Latin America & Caribbean,0.08261129409885515,0.05955088439616022,0.16536897475510404,
VULN-N.1,Region FE: Middle East & North Africa,0.066615002729904,0.07115793300297378,0.3491923181134503,
VULN-N.1,Region FE: North America,0.11433441278337904,0.06971945351450623,0.10102154358848715,
VULN-N.1,Region FE: South Asia,-0.22311121892152005,0.10986192362578007,0.04227193916842164,**
VULN-N.1,Region FE: Sub-Saharan Africa,-0.30794762203498055,0.05302137593115208,6.322728600220361e-09,***
VULN-N.1,R-squared,0.629098158267529,,,
VULN-N.1,Adj. R-squared,0.6052544684418701,,,
VULN-N.1,N,150,,,
VULN-N.1,Region Fixed Effects,Yes,,,
VULN-N.2,Constant,0.622970373071623,0.040861478089835875,1.7527676640734548e-52,***
VULN-N.2,Poverty Gap ($4.20/day),-0.002616306641193628,0.0020892959938572297,0.21048126938419587,
VULN-N.2,Log GDP per Capita (PPP),0.07930290119133712,0.022976136929008056,0.0005574110152564624,***
VULN-N.2,Flood Count (Log),0.007066788125371571,0.014773601647561124,0.632409025018763,
